[2018-11-25 19:01:47,183] INFO Updated PartitionLeaderEpoch. New: {epoch:0, offset:0}, Current: {epoch:-1, offset:-1} for Partition: post_login-0. Cache now contains 0 entries. (kafka.server.epoch.LeaderEpochFileCache)
[2018-11-25 19:01:47,585] INFO Updated PartitionLeaderEpoch. New: {epoch:0, offset:0}, Current: {epoch:-1, offset:-1} for Partition: get_home-0. Cache now contains 0 entries. (kafka.server.epoch.LeaderEpochFileCache)
[2018-11-25 19:01:56,031] INFO Updated PartitionLeaderEpoch. New: {epoch:0, offset:0}, Current: {epoch:-1, offset:-1} for Partition: get_searchresults-0. Cache now contains 0 entries. (kafka.server.epoch.LeaderEpochFileCache)
[2018-11-25 19:08:30,474] INFO [GroupMetadataManager brokerId=0] Removed 0 expired offsets in 0 milliseconds. (kafka.coordinator.group.GroupMetadataManager)
[2018-11-25 19:11:19,587] INFO Terminating process due to signal SIGINT (kafka.Kafka$)
[2018-11-25 19:11:19,590] INFO [KafkaServer id=0] shutting down (kafka.server.KafkaServer)
[2018-11-25 19:11:19,591] INFO [KafkaServer id=0] Starting controlled shutdown (kafka.server.KafkaServer)
[2018-11-25 19:11:19,603] INFO [KafkaServer id=0] Controlled shutdown succeeded (kafka.server.KafkaServer)
[2018-11-25 19:11:19,606] INFO [/config/changes-event-process-thread]: Shutting down (kafka.common.ZkNodeChangeNotificationListener$ChangeEventProcessThread)
[2018-11-25 19:11:19,607] INFO [/config/changes-event-process-thread]: Stopped (kafka.common.ZkNodeChangeNotificationListener$ChangeEventProcessThread)
[2018-11-25 19:11:19,607] INFO [/config/changes-event-process-thread]: Shutdown completed (kafka.common.ZkNodeChangeNotificationListener$ChangeEventProcessThread)
[2018-11-25 19:11:19,607] INFO [SocketServer brokerId=0] Stopping socket server request processors (kafka.network.SocketServer)
[2018-11-25 19:11:19,612] INFO [SocketServer brokerId=0] Stopped socket server request processors (kafka.network.SocketServer)
[2018-11-25 19:11:19,613] INFO [Kafka Request Handler on Broker 0], shutting down (kafka.server.KafkaRequestHandlerPool)
[2018-11-25 19:11:19,614] INFO [Kafka Request Handler on Broker 0], shut down completely (kafka.server.KafkaRequestHandlerPool)
[2018-11-25 19:11:19,616] INFO [KafkaApi-0] Shutdown complete. (kafka.server.KafkaApis)
[2018-11-25 19:11:19,616] INFO [ExpirationReaper-0-topic]: Shutting down (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2018-11-25 19:11:19,786] INFO [ExpirationReaper-0-topic]: Stopped (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2018-11-25 19:11:19,786] INFO [ExpirationReaper-0-topic]: Shutdown completed (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2018-11-25 19:11:19,789] INFO [TransactionCoordinator id=0] Shutting down. (kafka.coordinator.transaction.TransactionCoordinator)
[2018-11-25 19:11:19,789] INFO [ProducerId Manager 0]: Shutdown complete: last producerId assigned 1000 (kafka.coordinator.transaction.ProducerIdManager)
[2018-11-25 19:11:19,790] INFO [Transaction State Manager 0]: Shutdown complete (kafka.coordinator.transaction.TransactionStateManager)
